cgre_id,cgrl_primary_qty_post,cgrl_item_name1,cgrl_primary_qty_left,cdct_name,cplt_name,cgrl_primary_qty,cgre_organization_id,idv_document,cgre_created_by,s3key,cgre_document_id,cgre_movement_type,cdoc_pi_status,cdcs_name,cdoc_number,cgre_created_on,cdoc_notes,cwhs_code,cdoc_pi_date,cgre_document1,metadata_fecha_consulta
18467,,FRESCASA ECO 600'' X 48'' X2.5'',,Entrada por orden de compra,Parque Metropolitano,113,98,75062,jtorres,515407,515407,101,,Abierto,515407,2025-09-05T15:12:43.806395,,1145,,,2025-09-05 15:38:55
18466,,CUBIERTERO SLIM DE 7 ESPACIOS  COLOR GRIS 550X480X50MM,,Entrada por solicitud de traslado,Parque Metropolitano,8,98,144176,jtorres,515405,515405,101,,Abierto,515405,2025-09-05T15:07:55.200432,,1145,,,2025-09-05 15:38:55
18465,,AMORTIGUADOR POLIURETANO CRISTAL 8.5MMx2.2MMx (PAQUETE X24 UND),,Entrada por solicitud de traslado,Parque Metropolitano,822,98,144137,jtorres,515404,515404,101,,Abierto,515404,2025-09-05T15:06:27.168465,,1145,,,2025-09-05 15:38:55
18464,,BISAGRA SLOW MOTION CLIP ON 35MM SEMIPARCHE C/T 4H,,Entrada por solicitud de traslado,Parque Metropolitano,619,98,144604,jtorres,515402,515402,101,,Abierto,515402,2025-09-05T15:05:23.576754,,1145,,,2025-09-05 15:38:55
18463,,MDF TABLEMAC LIGHT 183X244X15 RH,,Entrada por solicitud de traslado,Parque Metropolitano,52,98,144136,jtorres,515398,515398,101,,Abierto,515398,2025-09-05T15:04:26.904151,,1145,,,2025-09-05 15:38:55
18462,,MELAMINICO SUPERCOR MDF RH CALA TEX RUSTICK 183X244X15,,Entrada por solicitud de traslado,Parque Metropolitano,10,98,144611,jtorres,515396,515396,101,,Abierto,515396,2025-09-05T15:03:29.592171,,1145,,,2025-09-05 15:38:55
18461,,TEJA  ZINC  ACESCO 0.8X2.14 (3X7) CAL.33 (0.23) 511160,,Entrada por orden de compra,Parque Metropolitano,500,98,74612,jtorres,515379,515379,101,,Abierto,515379,2025-09-05T14:57:38.211348,,1145,,,2025-09-05 15:38:55
18460,,TEJA MASTER 1000 CAL 28. GALVANIZADA 1 X 6 MT METALUM,,Entrada por orden de compra,Parque Metropolitano,1050,98,74838,jtorres,515378,515378,101,,Abierto,515378,2025-09-05T14:56:55.279494,,1145,,,2025-09-05 15:38:55
18459,,TEJA  ZINC ACESCO 0.8X2.44 (3X8) CAL.33 (0.23) 511162,,Entrada por orden de compra,Parque Metropolitano,250,98,72247,jtorres,515377,515377,101,,Abierto,515377,2025-09-05T14:56:16.824817,,1145,,,2025-09-05 15:38:55
18458,,TEJA  ZINC ACESCO 0.8X2.44 (3X8) CAL.34 (0.20) 511136,,Entrada por orden de compra,Parque Metropolitano,1000,98,74835,jtorres,515376,515376,101,,Abierto,515376,2025-09-05T14:55:33.547975,,1145,,,2025-09-05 15:38:55
18457,,TEJA ZINC ACESCO 0.8X3.05 (3x10) CAL.35 (0.17) 511000,,Entrada por orden de compra,Parque Metropolitano,750,98,74832,jtorres,515375,515375,101,,Abierto,515375,2025-09-05T14:54:52.092037,,1145,,,2025-09-05 15:38:55
18456,,TEJA ZINC ACESCO 0.8X2.14 (3X7) CAL.35 (0.17) 510990,,Entrada por orden de compra,Parque Metropolitano,2250,98,74830,jtorres,515374,515374,101,,Abierto,515374,2025-09-05T14:53:58.308337,,1145,,,2025-09-05 15:38:55
18455,,TEJA  ZINC  ACESCO 0.8X2.14 (3X7) CAL.33 (0.23) 511160,,Entrada por orden de compra,Parque Metropolitano,514,98,72719,jtorres,515373,515373,101,,Abierto,515373,2025-09-05T14:53:18.604749,,1145,,,2025-09-05 15:38:55
18454,80.0,CAOLIN FLEX BLANCO X 25 KILOS,0.0,Entrada por orden de compra,Parque Metropolitano,80,98,75138,jtorres,515346,515346,101,01,Cerrado,515346,2025-09-05T14:10:58.93023,,1145,2025-09-05T15:05:12.896155,,2025-09-05 15:38:55
18453,,FORMICA  LAMITECH  F8    ROVERE FIUMO  1462  TEXTURA  306X122,,Entrada por orden de compra,Parque Industrial la Florida,20,98,75027,pgaitan,515183,515183,101,,Abierto,515183,2025-09-05T11:40:01.236739,,1290,,,2025-09-05 15:38:55
18452,6100.0,CANTO FLEXIBLE BLANCO 19X0.40 MM 300mxRollo,700.0,Entrada por orden de compra,Parque Metropolitano,6800,98,74768,jtorres,515111,515111,101,,Abierto,515111,2025-09-05T11:16:13.242161,,1145,,,2025-09-05 15:38:55
18451,4770.0,CANTO ABS REHAU RADIANT BLANCO BRILLANTE 6010 23X1MM (U.E 120M) 60MxRollo,0.0,Entrada por orden de compra,Parque Industrial la Florida,4770,98,75006,pgaitan,515103,515103,101,01,Cerrado,515103,2025-09-05T11:11:40.017109,,1290,2025-09-05T13:55:26.582933,,2025-09-05 15:38:55
18450,51.0,CANTO ABS REHAU MIRROR GLOSS  SABBIA 23X1MM (U.E 100M) 50MxRollo,0.0,Entrada por orden de compra,Parque Industrial la Florida,51,98,75081,pgaitan,515102,515102,101,01,Cerrado,515102,2025-09-05T11:10:57.519668,,1290,2025-09-05T13:55:14.82015,,2025-09-05 15:38:55
18449,3.0,YEE SANITARIA  REDUCIDA 4X2       REF 2901741,0.0,Entrada por Devolucion,Parque Metropolitano,3,98,,losorio,515081,515081,103,,Cerrado,515081,2025-09-05T10:56:54.526041,SE CREA ENTRADA POR DEVOLCUION DE CLIENTE.,1145,,,2025-09-05 15:38:55
18448,100.0,CANTO PVC INTRAPLAS KALLIO 19X1.5 MM 100mxRollo,0.0,Entrada por orden de compra,Parque Industrial la Florida,100,98,74789,pgaitan,515079,515079,101,01,Cerrado,515079,2025-09-05T10:47:36.271509,,1290,2025-09-05T13:55:34.577523,,2025-09-05 15:38:55
18447,480.0,CANTO PVC INTRAPLAS KALLIO 19X0.45 MM 240mxRollo,0.0,Entrada por orden de compra,Parque Industrial la Florida,480,98,74789,pgaitan,515077,515077,101,01,Cerrado,515077,2025-09-05T10:47:00.032224,,1290,2025-09-05T13:55:37.302161,,2025-09-05 15:38:55
