Status,ItemCode,DocDate,WhsCode,VarianceValue,VariancePercent,QtyCount2,QtyCount1,QtyCount4,QtyCount3,ItemClosed,QtyStock,QtyCount5,QtyFinal,ItemName,Id,DocNum,metadata_fecha_consulta
Ok,10023597,2025-09-05,1145,0,0.0,,2.0,,,SI,2.0,,2.0,TEJA MASTER 1000 CAL 28. GALVANIZADA X 7 MT,1189662,514949,2025-09-06 23:04:09
Ok,10000728,2025-09-05,1145,0,0.0,,2.0,,,SI,2.0,,2.0,TEJA MASTER 1000 0.36X1000( CAL 28) X 6 MT AZUL,1187601,514949,2025-09-06 23:04:09
Ok,10005143,2025-09-05,1145,0,0.0,,53.0,,,SI,53.0,,53.0,BINDA EXTRA GRIS DE 25 KG T123464,1187985,514949,2025-09-06 23:04:09
Ok,10005144,2025-09-05,1145,0,0.0,,2.0,,,SI,2.0,,2.0,BINDA EXTRA GRIS DE 50 KG T123465,1187986,514949,2025-09-06 23:04:09
Ok,10005172,2025-09-05,1145,0,0.0,,3.0,,,SI,3.0,,3.0,SIKA VINILO PANEL DE 5 GL,1187995,514949,2025-09-06 23:04:09
Ok,10005179,2025-09-05,1145,0,0.0,,3.0,,,SI,3.0,,3.0,PLASTOCRETE DM 4.5 KG,1187996,514949,2025-09-06 23:04:09
Ok,10005182,2025-09-05,1145,0,0.0,,26.0,,,SI,26.0,,26.0,SIKASET -L DE 5 KG,1187997,514949,2025-09-06 23:04:09
Ok,10005184,2025-09-05,1145,0,0.0,,1.0,,,SI,1.0,,1.0,SIKASET -L TAMBOR X 230 KG,1187998,514949,2025-09-06 23:04:09
Ok,10005193,2025-09-05,1145,0,0.0,,2.0,,,SI,2.0,,2.0,SIKA-1 DE 220 KG IMPERMEABILIZANTE INTEGRAL,1188004,514949,2025-09-06 23:04:09
Ok,10005204,2025-09-05,1145,0,0.0,,14.0,,,SI,14.0,,14.0,SIKABOND PVA 1KG EMULSION POLIMERICA,1188010,514949,2025-09-06 23:04:09
Ok,10005207,2025-09-05,1145,0,0.0,,2.0,,,SI,2.0,,2.0,SIKA-2 DE 5.5 KG SELLADOR DE FILTRACIONES,1188012,514949,2025-09-06 23:04:09
Ok,10005218,2025-09-05,1145,0,0.0,,14.0,,,SI,14.0,,14.0,BINDA BOQUILLA COLOR BEIGE 10.0KG,1188018,514949,2025-09-06 23:04:09
Ok,10005222,2025-09-05,1145,0,0.0,,4.0,,,SI,4.0,,4.0,BINDA BOQUILLA ACRILICO COLOR BEIGE DE 10 KG,1188020,514949,2025-09-06 23:04:09
Ok,10005224,2025-09-05,1145,0,0.0,,7.0,,,SI,7.0,,7.0,ANTISOL BLANCO DE 20 KG,1188021,514949,2025-09-06 23:04:09
Ok,10005231,2025-09-05,1145,0,0.0,,2.0,,,SI,2.0,,2.0,SIKAFIBER AD DE 1 KG,1188022,514949,2025-09-06 23:04:09
Ok,10005235,2025-09-05,1145,0,0.0,,28.0,,,SI,28.0,,28.0,SIKAFLEX 1A PLUS I-CURE COLOR BLANCO X 600CC,1188025,514949,2025-09-06 23:04:09
Ok,10005245,2025-09-05,1145,0,0.0,,60.0,,,SI,60.0,,60.0,SIKAFLEX AT CONNECTION 300CC COLOR BLANCO,1188031,514949,2025-09-06 23:04:09
Ok,10005297,2025-09-05,1145,0,0.0,,24.0,,,SI,24.0,,24.0,SIKA VINILO T-2 BLANCO CUÑETE DE 5 GL,1188053,514949,2025-09-06 23:04:09
Ok,10005390,2025-09-05,1145,0,0.0,,10.0,,,SI,10.0,,10.0,BINDA BOQUILLA COLOR BLANCO 2.0KG T123860-01,1188073,514949,2025-09-06 23:04:09
Ok,10005491,2025-09-05,1145,0,0.0,,8.0,,,SI,8.0,,8.0,SIKACOR PRIMER FZ GRIS CLARO T096426-36,1188081,514949,2025-09-06 23:04:09
Ok,10005492,2025-09-05,1145,0,0.0,,9.0,,,SI,9.0,,9.0,CATALIZADOR SIKACOR PRIMER FZ (A:B::1:1) T096526-82,1188082,514949,2025-09-06 23:04:09
Ok,10005502,2025-09-05,1145,0,0.0,,21.0,,,SI,21.0,,21.0,SIKAFLEX 1A PLUS I-CURE NEGRO X300ML,1188083,514949,2025-09-06 23:04:09
Ok,10005720,2025-09-05,1145,0,0.0,,35.0,,,SI,35.0,,35.0,TEJA LIMATESA SUPERMARINA 2.00 MTS AZUL,1188105,514949,2025-09-06 23:04:09
Ok,10005722,2025-09-05,1145,0,0.0,,8.0,,,SI,8.0,,8.0,TEJA AJOVER MAX TERMOACUSTICA TRAPEZOIDAL A360 AZUL BLANCO 12 MTS,1188106,514949,2025-09-06 23:04:09
Ok,10005723,2025-09-05,1145,0,0.0,,33.0,,,SI,33.0,,33.0,TEJA AJOVER MAX TERMOACUSTICA TRAPEZOIDAL A360 ROJO BLANCO 12 MTS,1188107,514949,2025-09-06 23:04:09
Ok,10005731,2025-09-05,1145,0,0.0,,2.0,,,SI,2.0,,2.0,FILTRO ANAEROBICO P/TANQUE 1000 LTS AZUL,1188110,514949,2025-09-06 23:04:09
Ok,10006209,2025-09-05,1145,0,0.0,,15.0,,,SI,15.0,,15.0,ESMALTE DOMESTICO CREMA P-7 GALON,1188183,514949,2025-09-06 23:04:09
Ok,10006242,2025-09-05,1145,0,0.0,,11.0,,,SI,11.0,,11.0,ESMALTE DOMESTICO VINO TINTO P-90 1/4 GALON,1188202,514949,2025-09-06 23:04:09
Ok,10006313,2025-09-05,1145,0,0.0,,43.0,,,SI,43.0,,43.0,ESMALTE PINTULUX TEU BLANCO 11 GALON 1 GALON,1188225,514949,2025-09-06 23:04:09
Ok,10006382,2025-09-05,1145,0,0.0,,16750.41,,,SI,16750.41,,16750.41,COLORANTE UNIVERSAL ZERO VOC NEGRO HUMO *B* 120688 1/4=1.536 SIST.COLOR,1188249,514949,2025-09-06 23:04:09
Ok,10006384,2025-09-05,1145,0,0.0,,18688.0,,,SI,18688.0,,18688.0,COLORANTE UNIVERSAL ZERO VOC BLANCO *KX* 120689 1/4= 1.536 SIST.COLOR,1188251,514949,2025-09-06 23:04:09
Ok,10006386,2025-09-05,1145,0,0.0,,6912.0,,,SI,6912.0,,6912.0,COLORANTE UNIVERSAL ZERO VOC AMARILLO *AXX* 120690 1/4=1.536 Y SIST. COLOR,1188253,514949,2025-09-06 23:04:09
Ok,10006388,2025-09-05,1145,0,0.0,,14880.0,,,SI,14880.0,,14880.0,COLORANTE UNIVERSAL ZERO VOC AMARILLO MEDIO *T* 120691 1/4=1.536 SIST.COLOR,1188255,514949,2025-09-06 23:04:09
Ok,10006390,2025-09-05,1145,0,0.0,,11922.5399,,,SI,11922.5399,,11922.5399,COLORANTE UNIVERSAL ZERO VOC AMARILLO OXIDO *C* 120692 1/4=1.536 SIST.COLOR,1188257,514949,2025-09-06 23:04:09
Ok,10006392,2025-09-05,1145,0,0.0,,8112.0,,,SI,8112.0,,8112.0,COLORANTE UNIVERSAL ZERO VOC MARRON OXIDO *I* 120693 1/4= 1.536 SIST.COLOR,1188259,514949,2025-09-06 23:04:09
Ok,10006394,2025-09-05,1145,0,0.0,,8504.0,,,SI,8504.0,,8504.0,COLORANTE UNIVERSAL ZERO VOC AMBAR *L* 120694 1/4=1.536 SIST.COLOR,1188261,514949,2025-09-06 23:04:09
Ok,10006396,2025-09-05,1145,0,0.0,,8147.81,,,SI,8147.81,,8147.81,COLORANTE UNIVERSAL ZERO VOC ROJO OXIDO *F* 120695 1/4=1.536 SIST.COLOR,1188263,514949,2025-09-06 23:04:09
