civi_handling_unit,cstb_column,citm_name1,csts_name,civi_entry_date,civi_primary_qty_reserved,civi_primary_qty,civi_secondary_uom_code,csbt_name,civi_storagebin_code,citm_code2,citm_code1,civi_organization_id,civi_primary_qty_available,civi_secondary_qty,civi_stock_type_code,civi_id,cstt_name,cstb_line,cstb_level,civi_expiration_date,citm_packaging,civi_onset_date,civi_warehouse_code,civi_batch_number,civi_primary_uom_code,metadata_fecha_consulta
140444,2.0,CANTO PVC CUBRECOL CAOBA 22X1.5 MM (U.E 77 m) 77mxRollo,OUTLET,2023-11-19,0.0,21.0,,Large Shelf,F4M2A60IZQ,,10003593,98,21.0,,08,154007,Estantería pesada,4,60.0,,,,1290,,Metro,2025-09-06 23:29:24
168376,22.0,MDF TABLEMAC LIGHT 183X244X18,MADERAS ESTANTERIA,2025-08-05,0.0,37.0,,Large Shelf,F2M22A10,,10008527,98,37.0,,01,898279,Estantería pesada,2,10.0,,,,1145,,Lámina,2025-09-06 23:29:24
119965,1.0,CORREDERA SPAR 55 CM BLANCA S/T Ref: CS55/B,HERRAJES Y ACCESORIOS,2023-10-17,0.0,191.0,,Large Shelf,F23M1A10DER,,10009734,98,191.0,,08,125327,Estantería pesada,23,10.0,,,,1145,,Juego,2025-09-06 23:29:24
118916,1.0,ANGULO CIELO RASO 3/4 IMPORTADO PINTURA BLANCA,PERFILES,2023-10-17,0.0,12.0,,Large Shelf,F9M1A14IZQ,,10020594,98,12.0,,03,125329,Estantería pesada,9,14.0,,,,1145,,Metro,2025-09-06 23:29:24
134323,1.0,RIEL U 21 ALUMINIO X 3 MTS 10100626030,PERFILES,2023-10-17,0.0,3.0,,Large Shelf,F9M1A30DER,,10004018,98,3.0,,12,125435,Estantería pesada,9,30.0,,,,1145,,Und,2025-09-06 23:29:24
134101,1.0,RIEL U 21 ALUMINIO X 6 MTS,PERFILES,2023-10-17,0.0,2.0,,Large Shelf,F9M1A30DER,,10004019,98,2.0,,12,125436,Estantería pesada,9,30.0,,,,1145,,Und,2025-09-06 23:29:24
129132,1.0,PERFIL MANIJA ALUMINIO X 3M TABLERO DE 15MM PERALM09,PERFILES,2023-10-17,0.0,12.0,,Large Shelf,F9M1A26DER,,10018945,98,12.0,,12,125443,Estantería pesada,9,26.0,,,,1145,,Und,2025-09-06 23:29:24
130209,1.0,ZÓCALO ALUMINIZADO 150X4MT,PERFILES,2023-10-17,0.0,44.0,,Large Shelf,F9M1A20DER,,10019075,98,44.0,,12,125499,Estantería pesada,9,20.0,,,,1145,,Und,2025-09-06 23:29:24
130204,6.0,PISO CERAMICA MATE 32X56 TRIVENTO BLANCO (CJ: 1.45 MTS),PISO CERAMICA,2023-10-17,0.0,0.73,,Large Shelf,F9M6A60IZQ,ETRIVUI15TV,10027635,98,0.73,,13,125486,Montacargas,9,60.0,,,,1145,,m2,2025-09-06 23:29:24
119875,4.0,FORMICA LAMITECH F6 GENERICA BLANCO 2114 TEXTURA STANDAR 122X244,FORMICAS,2023-10-17,0.0,1.0,,Large Shelf,F2M4A20,,10009929,98,1.0,,03,125491,Estantería pesada,2,20.0,,,,1145,,Lámina,2025-09-06 23:29:24
180693,3.0,CANTO PVC IMPORTADO AMBAR FREZE 22X0.40 (300mxRollo),CANTOS,2023-11-19,0.0,622.0,,Large Shelf,F1M3A80DER,,10022681,98,622.0,,08,813894,Estantería pesada,1,80.0,,,,1290,,Metro,2025-09-06 23:29:24
119875,4.0,FORMICA LAMITECH F6 GENERICA GALAXIA CAFE 492 TEXTURA POSTFORMABLE 122X244,FORMICAS,2023-10-17,0.0,5.0,,Large Shelf,F2M4A20,,10010125,98,5.0,,03,125537,Estantería pesada,2,20.0,,,,1145,,Lámina,2025-09-06 23:29:24
119330,2.0,MANIJA DOME SPAR7110 - 192MM,HERRAJES Y ACCESORIOS,2023-10-17,0.0,45.0,,Large Shelf,F23M2.6A30,,10009575,98,45.0,,08,125695,Estantería pesada,23,30.0,,,,1145,,Und,2025-09-06 23:29:24
125324,2.0,MANIJA OVAL LINE 192MM Ref: SPAR923A,HERRAJES Y ACCESORIOS,2023-10-17,0.0,5.0,,Large Shelf,F23M2.2A30,,10009550,98,5.0,,08,125773,Estantería pesada,23,30.0,,,,1145,,Und,2025-09-06 23:29:24
119067,1.0,CABALLETE 2 MT TEJA TERMOACUSTIC AZUL ESPECIAL.,TEJAS,2023-10-17,0.0,1.0,,Large Shelf,F6M1.2A10,,10005718,98,1.0,,03,125801,Montacargas,6,10.0,,,,1145,,Und,2025-09-06 23:29:24
119206,2.0,MANIJA PORTATOALLERO ANOLOK,HERRAJES Y ACCESORIOS,2023-10-17,0.0,8.0,,Large Shelf,F23M2.1A20,,10000056,98,8.0,,08,125805,Estantería pesada,23,20.0,,,,1145,,Und,2025-09-06 23:29:24
130122,1.0,SOPORTE MURO 3/4 MADERA,ETHERBOARD,2023-10-17,0.0,5.0,,Large Shelf,F32M1A80,,10000176,98,5.0,,08,125829,Montacargas,32,80.0,,,,1145,,Und,2025-09-06 23:29:24
130122,1.0,SOPORTE MURO 1/2 MADERA,ETHERBOARD,2023-10-17,0.0,205.0,,Large Shelf,F32M1A80,,10000177,98,205.0,,08,125830,Montacargas,32,80.0,,,,1145,,Und,2025-09-06 23:29:24
130122,1.0,SOPORTE MURO 1/2 DORADO,ETHERBOARD,2023-10-17,0.0,95.0,,Large Shelf,F32M1A80,,10000178,98,95.0,,08,125831,Montacargas,32,80.0,,,,1145,,Und,2025-09-06 23:29:24
130122,1.0,SOPORTE TECHO 5/8 MADERA,ETHERBOARD,2023-10-17,0.0,12.0,,Large Shelf,F32M1A80,,10000191,98,12.0,,08,125832,Montacargas,32,80.0,,,,1145,,Und,2025-09-06 23:29:24
130122,1.0,TERMINAL CUPULA 1'' BRONCE MARTILLADO,ETHERBOARD,2023-10-17,0.0,12.0,,Large Shelf,F32M1A80,,10000205,98,12.0,,08,125833,Montacargas,32,80.0,,,,1145,,Und,2025-09-06 23:29:24
130122,1.0,TERMINAL CUPULA 1'' AZUL MARTILLADO,ETHERBOARD,2023-10-17,0.0,9.0,,Large Shelf,F32M1A80,,10000206,98,9.0,,08,125834,Montacargas,32,80.0,,,,1145,,Und,2025-09-06 23:29:24
119996,2.0,TEJA MASTER 1000 0.36X1000( CAL 28) X 6 MT AZUL,ETHERBOARD,2023-10-17,0.0,1.0,,Large Shelf,F29M2A10DER,,10000728,98,1.0,,03,125849,Montacargas,29,10.0,,,,1145,,Und,2025-09-06 23:29:24
