cgil_primary_qty_left,cgis_created_on,cgis_id,cdoc_reference,cgil_item_name1,cgil_primary_qty,cdct_name,cgis_document_id,cgis_movement_type,cgis_organization_id,cgil_item_code1,cdoc_pi_status,cdcs_name,cdoc_number,cgil_primary_qty_post,cdoc_notes,cwhs_code,cgis_created_by,cgil_batch_number,cdoc_pi_date,codv_planning_date_pl,metadata_fecha_consulta
0,2025-09-05T20:23:28.060192,81436,514772,31X60  CERÁMICA PISO TIPO MADERA  MATE SHERMAN SMOKED GRIS    PORCELANITE (CJ: 1.68),1.68,Salida por entrega,515722,261,98,10026882,01,Cerrado,515722,1.68,,1145,garenas,,2025-09-05T20:30:16.896149,2025-09-06T00:00:00,2025-09-06 01:43:00
0,2025-09-05T20:22:09.960305,81435,515260,SANITARIO MONTECARLO NOVO AL.HET EN CAJA  BONE O29161031,2.0,Salida por entrega,515721,261,98,10001609,01,Cerrado,515721,2.0,,1145,garenas,,2025-09-05T20:31:20.685818,2025-09-06T00:00:00,2025-09-06 01:43:00
0,2025-09-05T20:22:09.960305,81433,514784,ADAPTADOR PRESION MACHO DE 1/2    REF 2900779+134,857.0,Salida por entrega,515719,261,98,10000556+135,02,Cerrado,515719,857.0,,1145,garenas,3009569024,2025-09-05T20:35:11.80782,2025-09-06T00:00:00,2025-09-06 01:43:00
0,2025-09-05T20:22:09.960305,81434,514790,CANASTILLA CON SOSCO 4P METALICA 937260001+18,51.0,Salida por entrega,515720,261,98,10001449+18,01,Cerrado,515720,51.0,,1145,garenas,,2025-09-05T20:30:30.50257,2025-09-06T00:00:00,2025-09-06 01:43:00
0,2025-09-05T20:20:07.052309,81432,514775,ARENA PAREJA  POR SACO+22,261.0,Salida por entrega,515718,261,98,10000495+22,01,Cerrado,515718,261.0,,1145,garenas,131525+2,2025-09-05T20:25:21.283933,2025-09-06T00:00:00,2025-09-06 01:43:00
0,2025-09-05T19:04:08.867661,81430,515545,MDF TABLEMAC LIGHT 183X244X18 RH,1.0,Salida por entrega,515693,261,98,10008533,01,Cerrado,515693,1.0,,1145,garenas,,2025-09-05T19:05:09.002411,2025-09-05T00:00:00,2025-09-06 01:43:00
0,2025-09-05T18:59:33.905758,81429,515427,CINTA ANCHA X 300 METROS,6.0,Salida por entrega,515682,261,98,10016594,01,Cerrado,515682,6.0,,1145,garenas,,2025-09-05T19:00:14.816143,2025-09-05T00:00:00,2025-09-06 01:43:00
0,2025-09-05T18:22:34.526503,81427,515588,CEMENTO GRIS ALION BULTO X 50kg,60.0,Salida por entrega,515670,261,98,10021733,01,Cerrado,515670,60.0,,1145,garenas,,2025-09-05T18:50:16.280135,2025-09-06T00:00:00,2025-09-06 01:43:00
0,2025-09-05T18:22:34.526503,81428,515594,CEMENTO GRIS ALION BULTO X 25kg+1,112.0,Salida por entrega,515671,261,98,10021733+1,02,Cerrado,515671,112.0,,1145,garenas,,2025-09-05T18:50:13.056146,2025-09-06T00:00:00,2025-09-06 01:43:00
0,2025-09-05T18:22:34.526503,81426,515496,CEMENTO GRIS ALION BULTO X 25kg+1,65.0,Salida por entrega,515669,261,98,10021733+1,02,Cerrado,515669,65.0,,1145,garenas,,2025-09-05T18:50:17.921542,2025-09-06T00:00:00,2025-09-06 01:43:00
0,2025-09-05T18:22:18.733402,81425,515623,CEMENTO GRIS ALION BULTO X 25kg+1,130.0,Salida por entrega,515668,261,98,10021733+1,02,Cerrado,515668,130.0,,1145,garenas,,2025-09-05T18:35:32.231434,2025-09-06T00:00:00,2025-09-06 01:43:00
0,2025-09-05T18:22:18.733402,81424,515621,CEMENTO GRIS ALION BULTO X 50kg,120.0,Salida por entrega,515667,261,98,10021733,01,Cerrado,515667,120.0,,1145,garenas,,2025-09-05T18:35:20.283477,2025-09-06T00:00:00,2025-09-06 01:43:00
0,2025-09-05T18:22:18.733402,81423,515443,CEMENTO GRIS ALION BULTO X 50kg,50.0,Salida por entrega,515666,261,98,10021733,01,Cerrado,515666,50.0,,1145,garenas,,2025-09-05T18:35:24.434103,2025-09-06T00:00:00,2025-09-06 01:43:00
0,2025-09-05T18:19:45.504399,81422,515619,CEMENTO GRIS ALION BULTO X 50kg,60.0,Salida por entrega,515665,261,98,10021733,01,Cerrado,515665,60.0,,1145,garenas,,2025-09-05T18:20:20.244212,2025-09-06T00:00:00,2025-09-06 01:43:00
0,2025-09-05T18:19:45.504399,81421,515608,CEMENTO GRIS ALION BULTO X 50kg,50.0,Salida por entrega,515664,261,98,10021733,01,Cerrado,515664,50.0,,1145,garenas,,2025-09-05T18:20:27.282496,2025-09-06T00:00:00,2025-09-06 01:43:00
0,2025-09-05T18:19:45.504399,81420,515484,CEMENTO GRIS ALION BULTO X 50kg,50.0,Salida por entrega,515663,261,98,10021733,01,Cerrado,515663,50.0,,1145,garenas,,2025-09-05T18:20:30.32882,2025-09-06T00:00:00,2025-09-06 01:43:00
0,2025-09-05T18:19:45.504399,81419,512579,CEMENTO GRIS ALION BULTO X 50kg,120.0,Salida por entrega,515662,261,98,10021733,01,Cerrado,515662,120.0,,1145,garenas,,2025-09-05T18:20:23.968138,2025-09-05T00:00:00,2025-09-06 01:43:00
0,2025-09-05T17:09:31.378533,81418,,LADRILLO H-10 6 CELDAS (33X20X10) - 6.5 KG+2,567.0,Salida por merma,515614,702,98,10002907+2,,Cerrado,515614,567.0,SE REALIZA SALIDA POR AJUSTE DE INVENTARIO CICLICO ,1145,osantana,,,,2025-09-06 01:43:00
0,2025-09-05T17:04:44.883597,81417,515034,THINER GALON,2.0,Salida por entrega,515611,261,98,10007316,02,Cerrado,515611,2.0,,1145,losorio,,2025-09-05T17:05:03.429418,2025-09-05T00:00:00,2025-09-06 01:43:00
0,2025-09-05T17:02:20.491233,81416,515176,MELAMINICO  SUPERCOR  PB  VIENES TEX MADERA 153X244X36,41.0,Salida por entrega,515610,261,98,10012632,01,Cerrado,515610,41.0,,1145,losorio,,2025-09-05T17:02:39.258319,2025-09-06T00:00:00,2025-09-06 01:43:00
0,2025-09-05T16:13:31.324439,81415,514239,MELAMINICO VESTO MDP NEGRO VELVET SUPERMATE2.15X2.44X15,3.0,Salida por entrega,515494,261,98,10030046,01,Cerrado,515494,3.0,,1290,lguerrero,,2025-09-05T16:15:17.711487,2025-09-05T00:00:00,2025-09-06 01:43:00
0,2025-09-05T15:57:55.882659,81414,515388,CANTO PVC INTRAPLAS KOA 19X0.45MM 240mxRollo+2,90.0,Salida por entrega,515472,261,98,10026642+2,01,Cerrado,515472,90.0,,1145,losorio,,2025-09-05T15:58:30.033029,2025-09-05T00:00:00,2025-09-06 01:43:00
0,2025-09-05T15:55:50.649128,81413,515304,CANTO PVC INTRAPLAS BLANCO 19X0.45MM 240mxRollo+8,262.0,Salida por entrega,515471,261,98,10003780+8,01,Cerrado,515471,262.0,,1290,lguerrero,,2025-09-05T16:00:29.176127,2025-09-05T00:00:00,2025-09-06 01:43:00
0,2025-09-05T15:34:37.017725,81412,510519,CANTO PVC INTRAPLAS WENGUE 40X0.45 MM 240mxRollo,6.0,Salida por entrega,515451,261,98,10003916,02,Cerrado,515451,6.0,,1145,losorio,,2025-09-05T15:35:11.650641,2025-09-05T00:00:00,2025-09-06 01:43:00
