ctsk_task_name,ctti_time_els_value,ctsk_lines,ctsk_current_value,ctsk_waiting_date,ctsk_parking_dock_code,cdct_name,ctsk_id,ctsk_document_id,ctsk_reference,ctsk_complete_date,ctsk_task_description,ctst_name,ctsk_pci,ctsk_organization_id,ctsk_target_value,ctsk_created_on,cwhs_code,ctsk_priority,ctsk_task_user,ctsk_running_date,ctsk_task_state,ctsk_planning_date,metadata_fecha_consulta
"515447 BUC-CUÑETES, PEGANTES, PINTURAS Y SIKA",,7.0,0.0,,,ARDISA ENTREGA,231084,515449,,,Orden No. 500116154,Picking,0.0,98,19.0,2025-09-05T15:31:26.853445,1145,Muy baja,,,Pending,2025-09-06T00:00:00,2025-09-05 15:39:43
515447 PISO-PARED PICKING ATL 10-20,,3.0,0.0,,,ARDISA ENTREGA,231083,515448,,,Orden No. 500116154,Picking,0.0,98,6.0,2025-09-05T15:31:26.853445,1145,Muy baja,,,Pending,2025-09-06T00:00:00,2025-09-05 15:39:43
"515447 BUC-GRIVAL-PAVCO F24,25,26,27 ",,1.0,0.0,,,ARDISA ENTREGA,231085,515450,,,Orden No. 500116154,Picking,0.0,98,100.0,2025-09-05T15:31:26.853445,1145,Muy baja,,,Pending,2025-09-06T00:00:00,2025-09-05 15:39:43
515440 CANTOS Y HERRAJES ,,2.0,0.0,,,VENTA PUNTUAL,231082,515445,,,Orden No. 144853,Picking,0.0,98,20.0,2025-09-05T15:31:01.108152,1145,Muy baja,,,Pending,2025-09-06T00:00:00,2025-09-05 15:39:43
515436 MADERA ALT 10 PICKING,,1.0,0.0,,,ARDISA ENTREGA,231080,515437,,,Orden No. 887055315,Picking,0.0,98,15.0,2025-09-05T15:30:57.393598,1145,Muy baja,,,Pending,2025-09-06T00:00:00,2025-09-05 15:39:43
515436 MADERA FILAS 1 Y 5 TORRES,,2.0,0.0,,,ARDISA ENTREGA,231081,515438,,,Orden No. 887055315,Picking,0.0,98,50.0,2025-09-05T15:30:57.393598,1145,Muy baja,,,Pending,2025-09-06T00:00:00,2025-09-05 15:39:43
515433 HERRAMIENTAS,,1.0,0.0,,,ARDISA ENTREGA,231079,515434,,,Orden No. 500116152,Picking,0.0,98,100.0,2025-09-05T15:30:52.96209,1145,Muy baja,,,Pending,2025-09-08T00:00:00,2025-09-05 15:39:43
515430 Canto,,3.0,0.0,,,VENTA PUNTUAL,231078,515432,,,Orden No. 144852,Picking,0.0,98,30.0,2025-09-05T15:30:50.049805,1290,Muy baja,,,Pending,2025-09-06T00:00:00,2025-09-05 15:39:43
"515427 BUC-GRIVAL-PAVCO F24,25,26,27 ",,1.0,0.0,,,PROYECTOS,231077,515428,,,Orden No. 144851,Picking,0.0,98,6.0,2025-09-05T15:30:41.35214,1145,Muy baja,,,Pending,2025-09-05T00:00:00,2025-09-05 15:39:43
515424 HERRAMIENTAS,,2.0,0.0,,,ARDISA ENTREGA,231076,515426,,,Orden No. 500116151,Picking,0.0,98,300.0,2025-09-05T15:30:39.777096,1145,Muy baja,,,Pending,2025-09-08T00:00:00,2025-09-05 15:39:43
515421 CANTOS Y HERRAJES ,,1.0,0.0,,,VENTA PUNTUAL,231075,515422,,,Orden No. 144850,Picking,0.0,98,10.0,2025-09-05T15:30:35.362548,1145,Muy baja,,,Pending,2025-09-06T00:00:00,2025-09-05 15:39:43
"515417 BUC-CUÑETES, PEGANTES, PINTURAS Y SIKA",,3.0,0.0,,,ARDISA ENTREGA,231074,515419,,,Orden No. 500116150,Picking,0.0,98,100.0,2025-09-05T15:30:23.516871,1145,Muy baja,,,Pending,2025-09-06T00:00:00,2025-09-05 15:39:43
515415 CANTOS Y HERRAJES ,,1.0,0.0,,,VENTA PUNTUAL,231073,515418,,,Orden No. 144849,Picking,0.0,98,20.0,2025-09-05T15:30:22.036581,1145,Muy baja,,,Pending,2025-09-06T00:00:00,2025-09-05 15:39:43
510519  -  CL 108 33 30,00:02:34.565832,1.0,6.0,2025-09-05T15:26:20.035345,,CLIENTE RECOGE,231072,510519,,2025-09-05T15:36:42.785544,,Auditoria Picking,1.0,98,6.0,2025-09-05T15:26:00.644636,1145,Normal,hpinzon,2025-09-05T15:34:08.219712,Complete,2025-09-05T00:00:00,2025-09-05 15:39:43
510519 CANTOS Y HERRAJES ,00:05:34.931298,1.0,6.0,2025-09-05T15:25:45.744407,,CLIENTE RECOGE,231071,515411,,2025-09-05T15:34:23.384192,Orden No. 885033027,Picking,1.0,98,6.0,2025-09-05T15:25:33.552304,1145,Alta,eduarte,2025-09-05T15:27:56.156641,Complete,2025-09-05T00:00:00,2025-09-05 15:39:43
E515407,00:19:22.246064,4.0,0.0,2025-09-05T15:13:03.27442,,Orden de Compra,231070,515407,,,,Entrada de almacen,0.0,98,113.0,2025-09-05T15:12:48.005128,1145,Normal,cmendez,2025-09-05T15:15:50.903926,Waiting,2025-09-14T00:00:00,2025-09-05 15:39:43
E515405,,1.0,0.0,2025-09-05T15:08:27.858911,,Salida por entrega,231069,515405,,,,Entrada de almacen,0.0,98,8.0,2025-09-05T15:08:00.586086,1145,Normal,eduarte,,Waiting,,2025-09-05 15:39:43
