ctxn_balance,ctxn_attribute1,ctxn_primary_uom_code,ctxn_attribute2,ctxn_document_number,cdct_name,codv_invoice,ctxn_organization_id,ctxn_transaction_reference,ctxn_expiration_date,ctxn_secondary_qty,ctxn_secondary_uom_code,ctxn_movement_type,ctxn_transaction_date,ctxn_warehouse_code,ctxn_task_id,ctxn_item_code1,ctxn_item_code2,ctxn_onset_date,ctxn_currency_code,ctxn_primary_qty,ctxn_handling_unit,ctxn_storagebin_code,ctxn_stock_type_code,ctxn_created_on,ctxn_id,ctxn_document_reference,ctxn_created_by,ctxn_item_name1,ctxn_current_cost,ctxn_transaction_group_id,ctxn_batch_number,metadata_fecha_consulta
300.0,,Metro,,515111,Entrada por orden de compra,,98,,,,,101 Entrada de mercancías de pedido a almacén,2025-09-05,1145,230933.0,10031787,,,$,300.0,195135,MUELLE 4,12,15:36:33,2088659,74768,jmansilla,CANTO RIGIDO CHANTILLI DURATEX 22X1.7 MM 100mxRollo,1546.8,1762316,,2025-09-05 15:37:29
0.0,,Metro,,515451,Salida por entrega,,98,,,,,261 Consumo de almacén para orden,2025-09-05,1145,,10003916,,,COP,-6.0,PLT2179397,CLIENTE RECOGE,01,15:34:44,2088658,510519,losorio,CANTO PVC INTRAPLAS  WENGUE  40X0.45 MM (U.E 480 m) 240mxRollo,950.3,1762315,,2025-09-05 15:37:29
6.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10003916,,,COP,6.0,PLT2179397,CLIENTE RECOGE,01,15:34:21,2088657,,eduarte,CANTO PVC INTRAPLAS  WENGUE  40X0.45 MM (U.E 480 m) 240mxRollo,950.3,1762314,,2025-09-05 15:37:29
0.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10003916,,,COP,-6.0,PLT2179397,Picking,01,15:34:21,2088656,,eduarte,CANTO PVC INTRAPLAS  WENGUE  40X0.45 MM (U.E 480 m) 240mxRollo,950.3,1762314,,2025-09-05 15:37:29
2.0,,Lámina,,515332,Traslado de Materiales,,98,,,,,313 Traslado de confirmacion de picking,2025-09-05,1145,,10008524,,,$,2.0,PLT2179336,Picking,01,15:33:24,2088655,515331,jvaca,MDF TABLEMAC LIGHT 183X244X09,66281.52,1762313,,2025-09-05 15:37:29
47.0,,Lámina,,515332,Traslado de Materiales,,98,,,,,313 Traslado de confirmacion de picking,2025-09-05,1145,,10008524,,,$,-2.0,158166,F2M28A10,01,15:33:24,2088654,515331,jvaca,MDF TABLEMAC LIGHT 183X244X09,66281.52,1762313,,2025-09-05 15:37:29
2.0,,Lámina,,515367,Traslado de Materiales,,98,,,,,313 Traslado de confirmacion de picking,2025-09-05,1145,,10008524,,,$,2.0,PLT2179335,Picking,01,15:33:11,2088653,515366,jvaca,MDF TABLEMAC LIGHT 183X244X09,66281.52,1762312,,2025-09-05 15:37:29
49.0,,Lámina,,515367,Traslado de Materiales,,98,,,,,313 Traslado de confirmacion de picking,2025-09-05,1145,,10008524,,,$,-2.0,158166,F2M28A10,01,15:33:11,2088652,515366,jvaca,MDF TABLEMAC LIGHT 183X244X09,66281.52,1762312,,2025-09-05 15:37:29
6.0,,Metro,,515411,Traslado de Materiales,,98,,,,,313 Traslado de confirmacion de picking,2025-09-05,1145,,10003916,,,COP,6.0,PLT2179397,Picking,01,15:32:28,2088651,510519,eduarte,CANTO PVC INTRAPLAS  WENGUE  40X0.45 MM (U.E 480 m) 240mxRollo,950.3,1762311,,2025-09-05 15:37:29
140.0,,Metro,,515411,Traslado de Materiales,,98,,,,,313 Traslado de confirmacion de picking,2025-09-05,1145,,10003916,,,COP,-6.0,162319,F20M5A40DER,01,15:32:28,2088650,510519,eduarte,CANTO PVC INTRAPLAS  WENGUE  40X0.45 MM (U.E 480 m) 240mxRollo,950.3,1762311,,2025-09-05 15:37:29
40.0,,Und,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10026694,,,$,40.0,184592,F6M6A50DER,01,15:32:06,2088649,,jvaca,TEJA ZINC ACESCO 0.8X3.05 (3X10) CAL.34 (0.20) 511133,28089.05,1762310,,2025-09-05 15:37:29
0.0,,Und,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10026694,,,$,-40.0,PLT2178299,POBLACIONES,01,15:32:06,2088648,,jvaca,TEJA ZINC ACESCO 0.8X3.05 (3X10) CAL.34 (0.20) 511133,28089.05,1762310,,2025-09-05 15:37:29
400.0,,Metro,,515111,Entrada por orden de compra,,98,,,,,101 Entrada de mercancías de pedido a almacén,2025-09-05,1145,230933.0,10031791,,,$,400.0,195135,MUELLE 4,12,15:31:52,2088647,74768,jmansilla,CANTO RIGIDO CHANTILLI DURATEX  19X1.7 MM 100mxRollo,1135.6,1762309,,2025-09-05 15:37:29
50.0,,Und,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10026690,511451,,COP,50.0,184589,F6M5A50DER,01,15:31:37,2088646,,jvaca,TEJA ZINC ACESCO 0.8X3.05 (3x10) CAL.35 (0.17) 511000,22593.31,1762308,,2025-09-05 15:37:29
0.0,,Und,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10026690,511451,,COP,-50.0,PLT2178299,POBLACIONES,01,15:31:37,2088645,,jvaca,TEJA ZINC ACESCO 0.8X3.05 (3x10) CAL.35 (0.17) 511000,22593.31,1762308,,2025-09-05 15:37:29
115.0,,Und,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10026690,511451,,COP,115.0,184589,F6M5A50DER,01,15:31:25,2088644,,jvaca,TEJA ZINC ACESCO 0.8X3.05 (3x10) CAL.35 (0.17) 511000,22823.86,1762307,,2025-09-05 15:37:29
0.0,,Und,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10026690,511451,,COP,-115.0,PLT2178300,POBLACIONES,01,15:31:25,2088643,,jvaca,TEJA ZINC ACESCO 0.8X3.05 (3x10) CAL.35 (0.17) 511000,22823.86,1762307,,2025-09-05 15:37:29
1484.0,,Und,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10026690,511451,,COP,35.0,184589,F6M5A50DER,01,15:31:25,2088642,,jvaca,TEJA ZINC ACESCO 0.8X3.05 (3x10) CAL.35 (0.17) 511000,22593.31,1762306,,2025-09-05 15:37:29
0.0,,Und,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1145,,10026690,511451,,COP,-35.0,PLT2178300,POBLACIONES,01,15:31:25,2088641,,jvaca,TEJA ZINC ACESCO 0.8X3.05 (3x10) CAL.35 (0.17) 511000,22593.31,1762306,,2025-09-05 15:37:29
11.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1290,,10014045,,,COP,11.0,PLT2179110,PRODUCCION,01,15:23:37,2088640,,cangel,CANTO PVC INTRAPLAS MACULA (Amaretto) 19X0.45MM 240mxRollo,306.24,1762305,,2025-09-05 15:37:29
0.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1290,,10014045,,,COP,-11.0,PLT2179110,Picking,01,15:23:37,2088639,,cangel,CANTO PVC INTRAPLAS MACULA (Amaretto) 19X0.45MM 240mxRollo,306.24,1762305,,2025-09-05 15:37:29
7.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1290,,10032095,,,$,7.0,PLT2179110,PRODUCCION,01,15:23:37,2088638,,cangel,CANTO PVC REHAU BLANCO NEVADO DX 19X1.5 MM (U.E 150 m) 150mxRollo,985.0,1762305,,2025-09-05 15:37:29
0.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1290,,10032095,,,$,-7.0,PLT2179110,Picking,01,15:23:37,2088637,,cangel,CANTO PVC REHAU BLANCO NEVADO DX 19X1.5 MM (U.E 150 m) 150mxRollo,985.0,1762305,,2025-09-05 15:37:29
75.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1290,,10003831,,,COP,75.0,PLT2179110,PRODUCCION,01,15:23:37,2088636,,cangel,CANTO PVC INTRAPLAS HUMO TABLEMAC 19X0.45MM 240mxRollo,306.24,1762305,,2025-09-05 15:37:29
0.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1290,,10003831,,,COP,-75.0,PLT2179110,Picking,01,15:23:37,2088635,,cangel,CANTO PVC INTRAPLAS HUMO TABLEMAC 19X0.45MM 240mxRollo,306.24,1762305,,2025-09-05 15:37:29
19.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1290,,10030233,,,COP,19.0,PLT2179110,PRODUCCION,01,15:23:37,2088634,,cangel,CANTO PVC INTRAPLAS RIVIERA 19X0.45 MM 240mxRollo,306.24,1762305,,2025-09-05 15:37:29
0.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1290,,10030233,,,COP,-19.0,PLT2179110,Picking,01,15:23:37,2088633,,cangel,CANTO PVC INTRAPLAS RIVIERA 19X0.45 MM 240mxRollo,306.24,1762305,,2025-09-05 15:37:29
12.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1290,,10026786,,,COP,12.0,PLT2179110,PRODUCCION,01,15:23:37,2088632,,cangel,CANTO PVC INTRAPLAS GRAFFO 22X1.5 MM 100mxRollo,1157.76,1762305,,2025-09-05 15:37:29
0.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1290,,10026786,,,COP,-12.0,PLT2179110,Picking,01,15:23:37,2088631,,cangel,CANTO PVC INTRAPLAS GRAFFO 22X1.5 MM 100mxRollo,1157.76,1762305,,2025-09-05 15:37:29
11.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1290,,10026786,,,COP,11.0,PLT2179110,PRODUCCION,01,15:23:37,2088630,,cangel,CANTO PVC INTRAPLAS GRAFFO 22X1.5 MM 100mxRollo,1157.76,1762305,,2025-09-05 15:37:29
0.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1290,,10026786,,,COP,-11.0,PLT2179110,Picking,01,15:23:37,2088629,,cangel,CANTO PVC INTRAPLAS GRAFFO 22X1.5 MM 100mxRollo,1157.76,1762305,,2025-09-05 15:37:29
29.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1290,,10020934,,,COP,29.0,PLT2179110,PRODUCCION,01,15:23:37,2088628,,cangel,CANTO PVC INTRAPLAS KALLIO 19X1.5 MM 100mxRollo,1000.32,1762305,,2025-09-05 15:37:29
0.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1290,,10020934,,,COP,-29.0,PLT2179110,Picking,01,15:23:37,2088627,,cangel,CANTO PVC INTRAPLAS KALLIO 19X1.5 MM 100mxRollo,1000.32,1762305,,2025-09-05 15:37:29
52.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1290,,10031993,,,$,52.0,PLT2179110,PRODUCCION,01,15:23:37,2088626,,cangel,CANTO PVC REHAU BLANCO NEVADO DX 19X0.40MM (U.E 300 m) 300mxRollo,235.13,1762305,,2025-09-05 15:37:29
0.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1290,,10031993,,,$,-52.0,PLT2179110,Picking,01,15:23:37,2088625,,cangel,CANTO PVC REHAU BLANCO NEVADO DX 19X0.40MM (U.E 300 m) 300mxRollo,235.13,1762305,,2025-09-05 15:37:29
20.0,,Metro,,,,,98,,,,,311 Traslado de ubicacion a ubicacion,2025-09-05,1290,,10003781,,,COP,20.0,PLT2179110,PRODUCCION,01,15:23:37,2088624,,cangel,CANTO PVC INTRAPLAS BLANCO 19X1.5 MM 100mxRollo,749.76,1762305,,2025-09-05 15:37:29
